metric,chapter,pair,n_a,n_b,U,p,r,r_label,direction,median_a,median_b,bonf_sig,degenerate
BERTScore_Precision,ch2,Form vs Ask,37,37,739.0,0.5593599722856861,0.0796201607012419,negligible,Form > Ask,0.8712940812110901,0.863762617111206,False,False
BERTScore_Precision,ch2,Form vs Chat,37,39,619.0,0.28912760250214475,-0.1420651420651421,small,Chat > Form,0.8712940812110901,0.8754652738571167,False,False
BERTScore_Precision,ch2,Ask vs Chat,37,39,545.0,0.06738701431196564,-0.24462924462924462,small,Chat > Ask,0.863762617111206,0.8754652738571167,False,False
BERTScore_Precision,ch3,Form vs Ask,37,37,1209.0,1.4706847819355007e-08,0.7662527392257121,large,Form > Ask,0.892830491065979,0.8672388195991516,True,False
BERTScore_Precision,ch3,Form vs Chat,37,39,949.0,0.018319182439920888,0.3153153153153154,medium,Form > Chat,0.892830491065979,0.8875646591186523,False,False
BERTScore_Precision,ch3,Ask vs Chat,37,39,389.0,0.0005599272199892352,-0.46084546084546085,medium,Chat > Ask,0.8672388195991516,0.8875646591186523,True,False
BERTScore_Precision,ch4,Form vs Ask,37,37,711.0,0.7786450188439431,0.0387143900657414,negligible,Form > Ask,0.8554561734199524,0.8517333269119263,False,False
BERTScore_Precision,ch4,Form vs Chat,37,39,585.0,0.15754593684647156,-0.18918918918918914,small,Chat > Form,0.8554561734199524,0.8687048554420471,False,False
BERTScore_Precision,ch4,Ask vs Chat,37,39,595.0,0.19038231403120798,-0.17532917532917536,small,Chat > Ask,0.8517333269119263,0.8687048554420471,False,False
BERTScore_Precision,ch5,Form vs Ask,37,37,698.0,0.8882312792425544,0.019722425127830512,negligible,Form > Ask,0.8118793964385986,0.8023055195808411,False,False
BERTScore_Precision,ch5,Form vs Chat,37,39,403.0,0.0009504427406631542,-0.4414414414414415,medium,Chat > Form,0.8118793964385986,0.8380614519119263,True,False
BERTScore_Precision,ch5,Ask vs Chat,37,39,507.0,0.02614947014785256,-0.29729729729729726,small,Chat > Ask,0.8023055195808411,0.8380614519119263,False,False
BERTScore_Precision,ch6,Form vs Ask,37,37,460.0,0.01544990499449387,-0.3279766252739226,medium,Ask > Form,0.8224607110023499,0.8603230118751526,True,False
BERTScore_Precision,ch6,Form vs Chat,37,39,415.0,0.0014721809792675232,-0.42480942480942485,medium,Chat > Form,0.8224607110023499,0.8610349297523499,True,False
BERTScore_Precision,ch6,Ask vs Chat,37,39,653.0,0.4797581667868803,-0.09494109494109493,negligible,Chat > Ask,0.8603230118751526,0.8610349297523499,False,False
BERTScore_Recall,ch1,Form vs Ask,37,37,510.0,0.05995710123638466,-0.25493060628195763,small,Ask > Form,0.8777347207069397,0.8886516690254211,False,False
BERTScore_Recall,ch1,Form vs Chat,37,39,721.5,1.0,0.0,negligible,tie,0.8777347207069397,0.880673348903656,False,False
BERTScore_Recall,ch1,Ask vs Chat,37,39,900.0,0.06433241545360725,0.24740124740124747,small,Ask > Chat,0.8886516690254211,0.880673348903656,False,False
BERTScore_Recall,ch2,Form vs Ask,37,37,952.0,0.00389516558745122,0.39079620160701234,medium,Form > Ask,0.908771812915802,0.902538239955902,True,False
BERTScore_Recall,ch2,Form vs Chat,37,39,749.0,0.7790186542566937,0.038115038115038136,negligible,Form > Chat,0.908771812915802,0.9101102352142334,False,False
BERTScore_Recall,ch2,Ask vs Chat,37,39,491.0,0.01683551729232088,-0.3194733194733195,medium,Chat > Ask,0.902538239955902,0.9101102352142334,False,False
BERTScore_Recall,ch3,Form vs Ask,37,37,1260.0,5.089876056859437e-10,0.8407596785975164,large,Form > Ask,0.9143073558807372,0.8801848292350769,True,False
BERTScore_Recall,ch3,Form vs Chat,37,39,1315.0,7.14850030862393e-10,0.8225918225918225,large,Form > Chat,0.9143073558807372,0.8675548434257507,True,False
BERTScore_Recall,ch3,Ask vs Chat,37,39,757.0,0.7160534326447967,0.0492030492030493,negligible,Ask > Chat,0.8801848292350769,0.8675548434257507,False,False
BERTScore_Recall,ch4,Form vs Ask,37,37,1214.0,1.0715051619550086e-08,0.7735573411249086,large,Form > Ask,0.9025004506111144,0.8811095952987671,True,False
BERTScore_Recall,ch4,Form vs Chat,37,39,1385.0,5.571566674538437e-12,0.9196119196119197,large,Form > Chat,0.9025004506111144,0.8675462603569031,True,False
BERTScore_Recall,ch4,Ask vs Chat,37,39,935.0,0.02685683748509564,0.29591129591129595,small,Ask > Chat,0.8811095952987671,0.8675462603569031,False,False
BERTScore_Recall,ch5,Form vs Ask,37,37,903.0,0.018433585654330363,0.31921110299488675,medium,Form > Ask,0.8895692825317383,0.8784063458442688,False,False
BERTScore_Recall,ch5,Form vs Chat,37,39,620.0,0.2938847338637186,-0.14067914067914067,small,Chat > Form,0.8895692825317383,0.8909757733345032,False,False
BERTScore_Recall,ch5,Ask vs Chat,37,39,438.0,0.003270870009876281,-0.3929313929313929,medium,Chat > Ask,0.8784063458442688,0.8909757733345032,True,False
BERTScore_Recall,ch6,Form vs Ask,37,37,725.0,0.6654224967719451,0.059167275383491535,negligible,Form > Ask,0.8835717439651489,0.8846580386161804,False,False
